Table Name,State Code,District Code,Area Name,Total/ Rural/Urban,Present Age,Total Women,Total Ever Married Women,Total Ever Married Women - Parity - 0,Total Ever Married Women - Parity - 1,Total Ever Married Women - Parity - 2,Total Ever Married Women - Parity - 3,Total Ever Married Women - Parity - 4,Total Ever Married Women - Parity - 5,Total Ever Married Women - Parity - 6,Total Ever Married Women - Parity - 7+,Total Children Ever Born - Persons,Total Children Ever Born - Male,Total Children Ever Born - Female
F01ST33,33,603,District - Chennai,Total,65-69,69,69,6,13,10,11,9,7,4,9,225,127,98
F01ST33,33,603,District - Chennai,Total,70-74,78,75,20,8,11,11,6,10,4,5,205,121,84
F01ST33,33,603,District - Chennai,Total,75-79,45,45,12,4,10,6,5,3,2,3,119,67,52
F01ST33,33,603,District - Chennai,Total,80+,45,44,10,5,8,6,3,4,5,3,125,70,55
F01ST33,33,603,District - Chennai,Rural,All Ages,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,Less than 15,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,30-34,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,35-39,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,40-44,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,45-49,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,50-54,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,55-59,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,60-64,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,65-69,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,70-74,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,75-79,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Rural,80+,0,0,0,0,0,0,0,0,0,0,0,0,0
F01ST33,33,603,District - Chennai,Urban,All Ages,4854,3148,750,570,1013,479,165,90,42,39,5697,3159,2538
F01ST33,33,603,District - Chennai,Urban,Less than 15,1090,16,11,2,3,0,0,0,0,0,8,4,4
F01ST33,33,603,District - Chennai,Urban,15-19,408,92,69,17,5,1,0,0,0,0,30,14,16
